
============================================================
  DEVICE: SW02-PoE-48P-HALA-2  [10.0.100.12]  vendor: cisco
============================================================

Timestamp : 2026-05-15 12:24:00


------------------------------------------------------------
  CMD: show log
------------------------------------------------------------

Syslog logging: enabled (0 messages dropped, 0 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: level informational, 15141 messages logged, xml disabled,
                     filtering disabled
    Monitor logging: level debugging, 0 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level debugging, 15198 messages logged, xml disabled,
                     filtering disabled
    Exception Logging: size (4096 bytes)
    Count and timestamp logging messages: disabled
    File logging: disabled
    Persistent logging: disabled

No active filter modules.

    Trap logging: level informational, 15145 message lines logged
Jan 28 07:39:15.886: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:39:24.049: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:39:25.051: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:39:29.072: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:39:31.075: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:39:48.676: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:39:49.677: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:39:52.577: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:39:53.589: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:40:22.976: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:40:23.978: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:40:26.877: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:40:27.884: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:45:03.508: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:45:04.515: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:46:05.628: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:46:07.269: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:46:12.187: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:46:13.189: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:47:27.489: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:47:29.109: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:47:34.022: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:47:35.023: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:47:38.069: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:47:39.081: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:47:50.925: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:47:51.927: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:48:00.237: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:48:01.249: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:48:09.240: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:48:11.248: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:48:32.545: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:48:33.552: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:48:36.446: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:48:37.448: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:49:02.468: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:49:03.474: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Jan 28 07:49:06.426: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Jan 28 07:49:07.428: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 28 08:24:54.889: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Jan 28 08:24:56.488: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Jan 28 08:25:01.065: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to down
Jan 28 08:25:02.056: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 28 08:25:09.333: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Jan 28 08:25:10.345: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Jan 28 16:32:14.293: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Jan 28 16:32:15.300: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Jan 28 16:33:09.708: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Jan 28 16:33:10.710: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Jan 28 18:38:07.002: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 28 18:38:09.005: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 28 18:48:03.799: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Jan 28 18:48:04.801: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Jan 28 18:48:33.921: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Jan 28 18:48:34.928: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Jan 28 19:51:05.781: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 28 19:51:07.784: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 28 20:02:49.544: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 28 20:02:51.552: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 28 20:05:36.327: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 28 20:05:36.957: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 28 20:05:37.953: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Jan 28 20:05:38.335: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 28 20:05:42.236: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Jan 28 20:05:43.238: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 28 20:06:13.512: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to down
Jan 28 20:06:14.518: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 28 21:16:00.732: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 28 21:16:02.729: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 28 21:16:08.188: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 28 21:16:09.184: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 28 21:16:12.120: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 28 21:16:13.121: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 28 21:16:17.510: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 28 21:16:18.516: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 28 21:16:21.468: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 28 21:16:22.470: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 28 21:16:27.865: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 28 21:16:28.866: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 28 21:16:32.054: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 28 21:16:33.055: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 28 21:17:17.863: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 28 21:17:19.866: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 28 21:17:21.905: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 28 21:17:22.912: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 28 21:17:25.911: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 28 21:17:26.912: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 28 21:17:30.808: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 28 21:17:31.815: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 28 21:17:34.725: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 28 21:17:35.726: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 28 21:17:38.023: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 28 21:17:39.029: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 28 21:17:41.992: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 28 21:17:42.993: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 28 21:26:09.713: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 28 21:26:10.714: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 28 23:22:29.333: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Jan 28 23:22:30.340: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Jan 28 23:23:02.617: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Jan 28 23:23:03.618: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Jan 28 23:30:47.321: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 28 23:30:48.323: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Jan 28 23:30:50.776: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Jan 28 23:30:51.778: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 28 23:37:59.880: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 28 23:38:01.893: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 29 00:43:25.863: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 29 00:43:26.864: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Jan 29 00:43:29.769: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Jan 29 00:43:30.770: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 29 00:48:55.356: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 29 00:48:57.359: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 29 01:31:01.917: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Jan 29 01:31:02.919: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Jan 29 01:31:35.992: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Jan 29 01:31:36.994: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Jan 29 01:45:49.303: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Jan 29 01:45:50.304: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Jan 29 01:46:30.619: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Jan 29 01:46:31.621: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Jan 29 03:07:45.183: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Jan 29 03:07:46.185: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Jan 29 03:08:17.701: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Jan 29 03:08:18.702: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Jan 29 03:37:37.497: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Jan 29 03:37:38.504: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Jan 29 03:38:20.653: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Jan 29 03:38:21.655: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Jan 29 05:04:49.133: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 29 05:04:50.139: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Jan 29 05:04:52.494: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Jan 29 05:04:53.495: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 29 05:15:17.573: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 29 05:15:19.587: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 29 05:42:08.200: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
Jan 29 05:42:09.201: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to down
Jan 29 05:42:11.624: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/3, changed state to up
Jan 29 05:42:12.625: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to up
Jan 29 05:59:03.123: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 29 05:59:04.124: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Jan 29 05:59:06.804: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Jan 29 05:59:07.821: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 29 05:59:16.331: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 29 05:59:17.332: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Jan 29 05:59:19.985: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Jan 29 05:59:20.987: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 29 06:06:49.861: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 29 06:06:50.878: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 29 06:06:54.465: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 29 06:06:55.466: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 29 06:06:58.387: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 29 06:06:59.388: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 29 06:07:03.976: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 29 06:07:04.972: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 29 06:07:07.992: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 29 06:07:08.994: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 29 06:07:14.751: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 29 06:07:15.752: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 29 06:07:18.715: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 29 06:07:19.732: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 29 06:09:27.797: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 29 06:09:29.800: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 29 06:09:31.840: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 29 06:09:32.841: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 29 06:09:36.008: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 29 06:09:37.009: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 29 06:09:41.791: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 29 06:09:42.793: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 29 06:09:45.776: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 29 06:09:46.777: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 29 06:09:48.969: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to down
Jan 29 06:09:49.981: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to down
Jan 29 06:09:52.933: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/2, changed state to up
Jan 29 06:09:53.945: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/2, changed state to up
Jan 29 06:26:04.405: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 29 06:26:09.192: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 29 06:26:14.892: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 29 06:26:15.898: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Jan 29 06:26:18.903: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Jan 29 06:26:19.904: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 29 06:36:33.061: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 29 06:36:35.070: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 29 06:36:37.072: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 29 06:36:38.079: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Jan 29 06:36:40.785: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Jan 29 06:36:41.786: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 29 06:36:49.562: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 29 06:36:50.568: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Jan 29 06:36:53.316: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Jan 29 06:36:54.317: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 29 07:02:50.655: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 29 07:02:51.656: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Jan 29 07:02:54.330: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Jan 29 07:02:55.337: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 29 07:03:03.154: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 29 07:03:04.156: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Jan 29 07:03:07.218: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to up
Jan 29 07:03:08.219: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 29 09:06:13.185: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Jan 29 09:06:14.186: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Jan 29 09:06:20.326: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to down
Jan 29 09:06:21.327: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 29 09:06:29.192: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Jan 29 09:06:30.194: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Jan 29 09:18:47.528: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to down
Jan 29 09:18:48.529: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 29 13:03:16.946: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Jan 29 13:03:18.645: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Jan 29 13:03:23.642: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to down
Jan 29 13:03:24.643: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 29 13:03:32.534: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to up
Jan 29 13:03:33.535: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to up
Jan 29 13:32:39.204: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/9, changed state to down
Jan 29 13:32:40.205: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/9, changed state to down
Jan 29 13:32:50.660: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/9, changed state to up
Jan 29 13:32:51.661: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/9, changed state to up
Jan 29 13:32:59.384: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/9, changed state to down
Jan 29 13:33:00.386: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/9, changed state to down
Jan 29 13:33:02.808: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/9, changed state to up
Jan 29 13:33:03.810: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/9, changed state to up
Jan 29 16:43:10.136: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 29 16:43:12.138: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 29 16:47:41.226: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to down
Jan 29 16:47:42.228: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to down
Jan 29 16:48:45.727: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/19, changed state to up
Jan 29 16:48:46.729: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/19, changed state to up
Jan 29 17:53:08.693: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 29 17:53:10.696: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to up
Jan 29 18:29:53.370: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 29 18:29:58.230: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 29 18:30:03.919: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to down
Jan 29 18:30:04.921: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to down
Jan 29 18:30:07.946: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/7, changed state to up
Jan 29 18:30:08.947: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/7, changed state to up
Jan 29 20:56:45.581: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/11, changed state to down
Jan 29 20:56:46.582: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/11, changed state to down
Jan 29 20:57:12.640: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/6, changed state to down
Jan 29 20:57:13.647: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/6, changed state to down
Jan 29 20:57:29.770: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/3, changed state to down
